accession,title,organism,platform_type,gpl,n_samples_total,n_cases,n_controls,tissue,has_healthy_ctrl,notes,query_source,summary_excerpt
GSE305762,Spatial Transcriptomics of Lung Squamous Cell Carcinoma Assosciated with Idiopathic Pulmonary Fibrosis,Homo sapiens,,24676,52,,,,,,broad,"Spatial transcriptomic profiling was performed using the GeoMx Digital Spatial Profiler (NanoString Technologies) on FFPE lung specimens from six patients with lung squamous cell carcinoma (LUSC), inc"
GSE305872,Single-cell RNA sequencing of Lung Squamous Cell Carcinoma Assosciated with Idiopathic Pulmonary Fibrosis,Homo sapiens,,24676,1,,,,,,rnaseq,This dataset contains single-cell RNA sequencing (scRNA-seq) data from two patients with lung squamous cell carcinoma (LUSC) associated with idiopathic pulmonary fibrosis (IPF). Tumor and adjacent lun
GSE305984,Bulk RNA sequencing analysis of human airway basal stem cells stimulated by BALF from mouse fibrotic lungs and normal lu,Homo sapiens,,34284,6,,,,,,rnaseq,"To understand how the microenvironment of fibrotic lungs affects the behavior of airway basal stem cells (BCs), we constructed a mouse model of pulmonary fibrosis using bleomycin induced injury, and c"
GSE307326,Continuous NRTI-based antiretroviral therapy induces progressive senescence-like reprogramming of alveolar macrophages [,Homo sapiens,,33758,32,,,,,,rnaseq,"Background: Advances in antiretroviral therapy (ART) have substantially improved the lives of people with HIV (PWH) and reduced HIV acquisition through pre-exposure prophylaxis (PrEP). However, the lo"
GSE308611,Pulmonary fibrosis after COVID-19 is characterized by airway abnormalities and elevated club cell secretory protein-16,Homo sapiens,,24676,34,,,,,,rnaseq,Prior studies testing biomarkers of residual lung abnormalities after COVID-19 are limited by sampling within the first year after acute COVID-19 illness and lack of external validation of findings. I
GSE309373,Single-nucleus RNA sequencing of ex vivo precision-cut lung slices from normal human lung tissue,Homo sapiens,,24676,8,,,,,,rnaseq,"This study aimed to elucidate how epithelial–macrophage interactions contribute to pulmonary fibrosis. Using bleomycin-induced and genetic mouse models (Mif-2 KO, SPC-Cul3 KO, SPC-Mif KO, CX3CR1-Cd74 "
GSE309745,Single-cell and single-nucleus transcriptomic profiling of mouse models and human lung tissues to study pulmonary fibros,Homo sapiens; Mus musculus,,24247;24676,54,,,,,,rnaseq,This SuperSeries is composed of the SubSeries listed below.
GSE310202,Linezolid prevents fibroblast activation and ameliorates tissue fibrosis by inhibition of mitochondrial translation,Homo sapiens; Mus musculus,,24247;24676,36,,,,,,rnaseq,"Background: Beyond its role as a ribosome-targeting antibiotic, linezolid was recently shown to modulate immune responses by inhibiting mitochondrial translation. Since mitochondrial dysfunction is im"
GSE310470,Targeting Fused in Sarcoma (FUS): A Novel Antisense Strategy for Treating Idiopathic Pulmonary Fibrosis [CLIP-Seq],Homo sapiens,,30173,16,,,,,,broad,"Fused in Sarcoma (FUS) is a highly conserved RNA-binding protein with essential roles in RNA processing and genomic stability. While extensively studied in the context of neurodegeneration, its involv"
GSE310473,Targeting Fused in Sarcoma (FUS): A Novel Antisense Strategy for Treating Idiopathic Pulmonary Fibrosis [RNA-Seq IPF],Homo sapiens,,30173,16,,,,,,rnaseq,"Fused in Sarcoma (FUS) is a highly conserved RNA-binding protein with essential roles in RNA processing and genomic stability. While extensively studied in the context of neurodegeneration, its involv"
GSE310475,Targeting Fused in Sarcoma (FUS): A Novel Antisense Strategy for Treating Idiopathic Pulmonary Fibrosis [RNA-Seq PCLS],Homo sapiens,,30173,6,,,,,,rnaseq,"Fused in Sarcoma (FUS) is a highly conserved RNA-binding protein with essential roles in RNA processing and genomic stability. While extensively studied in the context of neurodegeneration, its involv"
GSE310479,Targeting Fused in Sarcoma (FUS): A Novel Antisense Strategy for Treating Idiopathic Pulmonary Fibrosis,Homo sapiens,,30173,38,,,,,,rnaseq,This SuperSeries is composed of the SubSeries listed below.
GSE311800,Restores Epithelial Identity and Mitigates Lung Fibrosis,Homo sapiens,,34295,18,,,,,,rnaseq,"In this study, we investigated how S100A2 overexpression, hypoxic stress, and 2D monolayer culture conditions disrupt the epithelial identity of human iPSC-derived alveolar type 2 cells (iAT2s), a key"
GSE314709,Single-cell multiomics uncovers an endothelial mechanosensitive PIEZO1-IL-33 axis driving pulmonary fibrosis,Homo sapiens,,18573,8,,,,,,rnaseq,Pulmonary fibrosis (PF) represents a progressive interstitial lung disease marked by excessive extracellular matrix deposition and architectural distortion. Vascular endothelial cells (ECs) critically
GSE316481,miR-205-5p drives endothelial dysfunction and senescence in pulmonary fibrosis,Homo sapiens,,30173,6,,,,,,rnaseq,"Idiopathic Pulmonary Fibrosis (IPF) is a fatal, aging-related disease characterized by persistent lung fibroblast activation, progressive lung scarring and several vascular abnormalities. We have prev"
GSE317902,Monocyte Subset Predicts Clinical Outcomes in Fibrotic Hypersensitivity Pneumonitis,Homo sapiens,,24676,33,,,,,,rnaseq,This study aimed to identify circulating immune cell populations associated with disease severity and progression in fibrotic hypersensitivity pneumonitis (fHP). Using single-cell RNA sequencing of pe
GSE31934,"To examine the expression of Sulf1 and Sulf2, as well as other glycan-related genes, in human Idiopathic pulmonary fibro",Homo sapiens,,11097,6,,,,,,array,Microarray analysis to examine glycan-related gene expression in idiopathic pulmonary fibrosis Heparan sulfate 6-O-endosulfatases (Sulf1 and Sulf2) remove 6-O sulfate groups from heparan sulfate intra
GSE325309,Integrating epigenome-wide Mendelian randomization and multi-omics data validation to identify epigenetic drivers of idi,Homo sapiens,,24676,6,,,,,,rnaseq,"Idiopathic pulmonary fibrosis (IPF) is a complex disease without clear etiology or effective therapy. While DNA methylation has been implicated in IPF pathogenesis, the tissue-specific causal effects "
GSE32539,Molecular phenotyping of the idiopathic interstitial pneumonias identifies two Subtypes of idiopathic pulmonary fibrosis,synthetic construct; Homo sapiens,,6244;8786,409,,,,,,array,This SuperSeries is composed of the SubSeries listed below.
GSE331144,Transcriptional and spatial profiling of fibroblasts from human lungs highlights CTHRC1+ cells as fibrogenic signaling h,Homo sapiens,,24676,9,,,,,,rnaseq,This dataset contains single-cell RNA sequencing (scRNA-seq) data from native human lung tissue obtained from idiopathic pulmonary fibrosis (IPF) patients and age-matched controls. Samples were collec
GSE331432,Characterizing Cellular Heterogeneity and Transcriptomic Features of Senotype Using Deep Graph Representation Learning,Homo sapiens,,24676,2,,,,,,rnaseq,"Cellular senescence is a primordial driver of tissue and organ aging, and the accumulation of senescent cells (SnCs) has been implicated in numerous age-related diseases. A major barrier to studying s"
GSE33566,The Peripheral Blood Transcriptome Predicts the Presence and Extent of Disease in Idiopathic Pulmonary Fibrosis,Homo sapiens,,6480,123,,,,,,array,Peripheral blood biomarkers are needed to identify and determine the extent of idiopathic pulmonary fibrosis (IPF). Current physiologic and radiographic prognostic indicators diagnose IPF too late in 
GSE34818,MiR-199a-5p determines fibroblast activation and pulmonary fibrogenesis,Homo sapiens; Mus musculus,,13607;7686;13912,48,,,,,,array,Idiopathic pulmonary fibrosis (IPF) is a chronic and often fatal pulmonary disorder characterized by fibroblast proliferation and the excess deposit of extracellular matrix proteins. The etiology of I
GSE35147,Altered DNA Methylation Profile in Idiopathic Pulmonary Fibrosis,Homo sapiens,,10558;8490,14,,,,,,array,This SuperSeries is composed of the SubSeries listed below.
GSE38530,Gene expression data in over expressed Human Fetal Lung Fibroblasts with IPF downregulated miRNAs,Homo sapiens,,6480,20,,,,,,array,Idiopathic pulmonary fibrosis (IPF) is an untreatable fibrotic lung disease characterized by fibroblast proliferation and epithelial mesenchymal transition.miRNA let-7d and mir30b were found to be sig
GSE38958,Profiling of Gene Expression in Idiopathic Pulmonary Fibrosis,Homo sapiens,,5175,115,,,,,,array,"Idiopathic pulmonary fibrosis (IPF) is a specific form of chronic, progressive fibrosing interstitial disease of unknown cause. It remains impractical to conduct early diagnosis and predict IPF progre"
GSE44723,Bleomycin induces molecular changes directly relevant to idiopathic pulmonary fibrosis:  A model for “active” disease,Homo sapiens,,570,14,,,,,,array,Genomic profiling of RNA from cultured human fibroblasts of donor samples in the 10-14th passage was carried out to determine expression changes in the fibroblasts of individual with different degrees
GSE45686,An extracellular matrix-driven positive feedback loop regulates translation in Idiopathic Pulmonary Fibrosis,Homo sapiens,,10558,40,,,,,,array,Analysis of gene expression of lung fibroblasts seeded onto decellularized extracellular matrix (ECM). Experiment had 2x2 design where fibroblasts from idiopathic pulmonary fibrosis (IPF) or control p
GSE48149,Lung tissues in systemic sclerosis have gene expression patterns unique to pulmonary fibrosis and pulmonary hypertension,Homo sapiens,,16221,53,,,,,,array,"Objective: Pulmonary complications in systemic sclerosis (SSc), including pulmonary fibrosis (PF) and pulmonary arterial hypertension (PAH), are the leading cause of mortality. We compared the molecul"
GSE49072,Alveolar Macrophage Gene Expression in Human Pulmonary Fibrosis,Homo sapiens,,96,84,,,,,,array,Gene expression profiles for patients affected with Sporadic and Familial Pulmonary Fibrosis.
GSE52612,Forkhead Box F1 (FOXF1) represses fibroblast functions relevant to fibrogenesis,Homo sapiens,,13607,8,,,,,,array,"Aberrant expression of master phenotype regulators by lung fibroblasts may play a central role in idiopathic pulmonary fibrosis (IPF). Interrogating IPF fibroblast transcriptome datasets, we identifie"
GSE53845,40 IPF patients and 8 healthy controls,Homo sapiens,,6480,48,,,,,,array,"There is microscopic spatial and temporal heterogeneity of pathologic changes in idiopathic pulmonary fibrosis (IPF) lung tissue, which may relate to heterogeneity in pathophysiological mediators of d"
GSE5450,Alveolar Epithelial Cell Injury with EBV Upregulates TGF-beta1 Expression,Homo sapiens,,96,6,,,,,,array,"Idiopathic pulmonary fibrosis (IPF) is a refractory and lethal interstitial lung disease characterized by alveolar epithelial cells apoptosis, fibroblast proliferation and extra-cellular matrix protei"
GSE5457,Retinoic Acids Exposure Alters TGFbeta1 -Induced Epithelial Mesenchymal Transition via Wnt5b expression.,Homo sapiens,,96,8,,,,,,array,Idiopathic pulmonary fibrosis (IPF) is a refractory and lethal interstitial lung disease; EBV has previously been localised to alveolar epithelial cells of IPF patients. The molecular process of the e
GSE6804,Expression data of myofibroblast isolated from patients with idiopathic pulmonary fibrosis,Homo sapiens,,201,3,,,,,,array,"Idiopathic pulmonary fibrosis (IPF), a chronic progressive lung disease of unknown etiology, is characterized by the expansion of myofibroblasts and abnormal deposition of extracellular matrix in the "
GSE69764,Identification of the gene expression in IPF lung fibroblasts after demethylation,Homo sapiens,,570,6,,,,,,array,"Idiopathic pulmonary fibrosis (IPF) is a progressive lung disease. Although the pathogenesis is poorly understood, evidence suggests that genetic and epigenetic alterations, such as DNA methylation, m"
GSE70864,BAL cell gene expression is predictive of Mortality in Idiopathic Pulmonary Fibrosis and enriched for Genes of Airway Ba,Homo sapiens,,14550,22,,,,,,array,Background: Based on previous publication and our own data we became interested in the gene expression signature of airway basal cells. Methods: Bronchoscopy with bronchial brushes and bronchoalveolar
GSE70866,BAL cell gene expression is predictive of Mortality in Idiopathic Pulmonary Fibrosis and enriched for Genes of Airway Ba,Homo sapiens,,17077;14550,196,,,,,,array,"Background: Idiopathic pulmonary fibrosis (IPF) is a fatal disease with variable outcome. Currently, there is little information whether changes in molecular pathways in the alveolar compartment of pa"
GSE70867,BAL cell gene expression is predictive of Mortality in Idiopathic Pulmonary Fibrosis and enriched for Genes of Airway Ba,Homo sapiens,,17077;570;14550;10739,321,,,,,,array,This SuperSeries is composed of the SubSeries listed below.
GSE71351,Global Gene Expression Profiles of Fibroblasts from the Lungs of Patients with Idiopathic Pulmonary Fibrosis: The Role o,Homo sapiens,,10558,12,,,,,,array,Analysis of Idiopathic pulmonary fibrosis (IPF) at gene expression level. The hypothesis tested in the present study was that Epigenetic mechanisms are likely to be associated with pathogenesis in IPF
GSE72073,Expression data from lung tissues of IPF patients and Normal Control,Homo sapiens,,17586,8,,,,,,array,Idiopathic pulmonary fibrosis (IPF) is a progressive lethal interstitial lung disease of unkown etiology with limited effective therapies. The pathogenic mechanisms of IPF remain unkown. Emerging evid
GSE73394,BAL cell gene expression is predictive of Mortality in Idiopathic Pulmonary Fibrosis and enriched for Genes of Airway Ba,Homo sapiens,,10739,46,,,,,,array,"Background: We got interested whether genes of airway basal cells  are enriched in sarcoidosis.  Methods: Bronchoscopy with bronchoalveolar lavage (BAL) was performed in 26 patients with sarcoidosis, "
GSE73395,BAL cell gene expression is predictive of Mortality in Idiopathic Pulmonary Fibrosis and enriched for Genes of Airway Ba,Homo sapiens,,570,57,,,,,,array,Background: We got interested whether genes of airway basal cells  are enriched in COPD.  Methods: Bronchoscopy with bronchial brushes and bronchoalveolar lavage was performed in 28 patients with COPD
GSE73854,Developmental programming in Idiopathic pulmonary fibrosis (IPF),Homo sapiens,,570,8,,,,,,array,Global mRNA expression was compared between stable and progressive IPF using bronchoalveolar lavage derived mesenchymal stromal cells
GSE75647,MicroRNA expression data from lung tissue of Idiopathic Pulmonary Fibrosis,Homo sapiens,,21199,7,,,,,,array,"Idiopathic pulmonary fibrosis (IPF) is a chronic, progressive, and usually lethal lung disease characterized by unknown causes and few treatment options We used microarray to determine the expression "
GSE85268,Microbes associate with host innate immune response in idiopathic pulmonary fibrosis,Homo sapiens,,15207,68,,,,,,array,The goal of this study is to explore molecular mechanisms underpinning the progression-associated host-microbial interactions in IPF. Multi-omics analysis revealed that the majority (8/11) of the prog
GSE87175,Analysis of globle gene expression changes observed in an in vitro fibroblast model of IPF,Homo sapiens,,6522,24,,,,,,array,The activated fibroblast is the putative effector cell for the progressive fibrotic phenotype idiopathic pulmonary fibrosis (IPF). Recent studies investigating global gene expression differences betwe
GSE90010,Expression data from human macrophages,Homo sapiens,,17692,24,,,,,,array,Experimental set 1: To evaluate the impact of apoptotic neutrophils on TLR4-induced inflammatory pathways in human macrophages. Experimental set 2: To compare the activation of inflammatory pathway be
GSE9077,Expression profiles of immortal lung fibroblasts,Homo sapiens,,1928;4133;570,17,,,,,,array,"Activation of telomerase often endows cancer cells, but rarely normal somatic cells, with immortality. Especially, fetal lung fibroblasts are known to be hardly immortalized by TERT overexpression. We"
GSE93606,Host-Microbial interactions in Idiopathic Pulmonary Fibrosis,Homo sapiens,,11532,174,,,,,,array,Changes in the respiratory microbiome are associated with disease progression in Idiopathic pulmonary fibrosis (IPF). The role of the host response to the respiratory microbiome however remains unknow
GSE94060,Human lung MPC,Homo sapiens,,6244,9,,,,,,array,A comparison of gene expression between control versus IPF human lung MPC using human Affy 1.0st chips.  This work was funded by grants to S.M. Majka from the NIH R01HL091105 and NIH R01HL11659701. Ad
GSE97834,The DNM3OS lncRNA is a reservoir of fibromiRs with major functions in fibroblast response to TGF-beta and fibrogenesis,Mus musculus; Homo sapiens,,13912;18573;17077,92,,,,,,array,"RATIONALE: Given the paucity of effective treatments for Idiopathic Pulmonary Fibrosis (IPF), new insights into the deleterious mechanisms controlling lung fibroblast activation, the key cell type dri"
GSE98925,The transcriptional signal of laser capture microdissection fibroblkastic foci from idiopathic pulmonary fibrosis (IPF) ,Homo sapiens,,570,61,,,,,,array,"Contractile and highly synthetic myofibroblasts are the key effector cells involved in excessive extracellular matrix (ECM) deposition in multiple fibrotic conditions, including idiopathic pulmonary f"
